university,URL,Acronym,country,ranking_latin_america,ranking_world,Presence, Impact ,Opening ,excellence ,accessibility_errors,accessibility_alerts,accessibility_features,structural_elements,html5_aria,contrast_errors
School of Business and Computer Science,http://www.sbcs.edu.tt/,sbcs,Trinidad and Tobago,1355,15028,8321,15437,8635,5778,57,169,5,82,56,61
Faculdade Santo Antônio de Pádua FASAP,http://www.fasap.com.br/,fasap,Brazil,2990,23131,16937,23811,8635,5778,55,24,1,35,28,17
Universidad Nacional de Santiago del Estero,http://www.unse.edu.ar/,unse,Argentina,415,4451,2956,7500,7031,4142,54,65,73,105,4,62
Universidad Salesiana,http://www.universidadsalesiana.edu.mx/,universidadsalesiana,Mexico,2382,20632,23665,19280,8635,5778,54,18,10,48,13,27
Tecnológico Universitario de México,http://tum.edu.mx/,tum,Mexico,3228,24112,22235,24176,8635,5778,52,43,47,40,12,60
Fundação Armando Alvares Penteado FAAP,http://www.faap.br/,faap,Brazil,430,4607,8565,4605,6291,4916,52,54,31,106,37,37
Universidade Católica de Santos UNISANTOS,http://www.unisantos.br/,unisantos,Brazil,421,4544,5943,8384,3814,4482,51,48,6,42,3,17
Faculdade Presbiteriana Augusto Galvão,http://www.augustogalvao.edu.br/,augustogalvao,Brazil,3210,24034,19511,24440,8635,5778,51,32,0,14,6,18
Faculdade NOVAFAPI,http://www.uninovafapi.edu.br/,uninovafapi,Brazil,818,9379,6107,11599,6775,5778,48,58,7,62,26,14
Faculdades Integradas Regionais de Avaré FREA,http://www.fira.edu.br/,fira,Brazil,2575,21432,16061,22055,8635,5778,48,66,4,47,10,2
Universidad Santo Tomás Bogotá,http://www.usta.edu.co/,usta,Colombia,450,4775,3474,5847,8635,4032,47,228,39,53,5,83
Universidad Técnica de Ambato,http://www.uta.edu.ec/,uta,Ecuador,479,5024,575,8414,6555,4916,47,49,35,101,73,2
Faculdade Legale,http://www.falegale.edu.br/,falegale,Brazil,3363,24695,22146,24802,8635,5778,47,43,11,17,16,58
Universidade Federal dos Vales do Jequitinhonha e Mucuri UFVJM,http://www.ufvjm.edu.br/,ufvjm,Brazil,189,2727,2242,5999,2079,2805,46,52,22,56,7,0
Faculdade de Mococa FAFEM,http://www.fafem.com.br/,fafem,Brazil,2540,21297,15826,21934,8635,5778,46,25,20,64,8,11
Universidade Regional do Cariri URCA,http://www.urca.br/,urca,Brazil,346,3899,6456,9585,3433,3459,46,17,11,31,0,91
Conservatorio de Musica de Puerto Rico,http://cmpr.edu/,cmpr,Puerto Rico,863,10006,13237,7297,8635,5778,45,20,9,43,7,73
Instituto Tecnológico de Aguascalientes,http://www.ita.mx/,ita,Mexico,327,3783,10405,4422,7851,3381,44,74,16,10,5,4
Universidad Academia de Humanismo Cristiano,http://www.academia.cl/,academia,Chile,733,8110,3367,9118,8635,5228,44,53,13,66,52,30
Universidad Católica del Uruguay,https://ucu.edu.uy/es,ucu,Uruguay,213,2955,2373,2452,3801,4142,44,35,10,51,0,47
Faculdade Aldete Maria Alves FAC-FAMA,http://www.facfama.edu.br/,facfama,Brazil,2460,20976,16629,21843,8514,5778,43,3,6,6,2,12
Universidad Nacional Agraria La Molina,http://www.lamolina.edu.pe/,lamolina,Peru,191,2745,2584,4488,2776,3097,42,112,22,21,0,5
Universidad de Desarrollo Sustentable Paraguay,http://www.uds.edu.py/,uds,Paraguay,2779,22366,23643,21552,8635,5778,42,17,1,39,2,54
Fundación Universitaria Católica del Norte,http://www.ucn.edu.co/,ucn,Colombia,725,7988,5387,9657,6786,5778,41,58,40,87,11,129
Universidad Yacambú,http://www.uny.edu.ve/,uny,Venezuela,1421,15596,13243,15174,8635,5778,41,9,15,20,6,34
DeVry Brasil,http://www.devrybrasil.edu.br/,devrybrasil,Brazil,885,10306,7864,8831,8635,5778,40,18,34,74,81,46
Universidad Tecmilenio,http://tecmilenio.mx/,tecmilenio,Mexico,981,11455,18088,10576,8635,5228,40,36,13,58,23,56
Universidad de la Veracruz UNIVER Colima,http://www.univercolima.edu.mx/,univercolima,Mexico,2841,22594,18499,22944,8635,5778,39,74,48,62,24,101
Universidad Peruana Unión,http://www.upeu.edu.pe/,upeu,Peru,630,6754,4436,9829,6795,5228,39,59,42,108,24,37
Fundación Universitaria Monserrate,http://www.unimonserrate.edu.co/,unimonserrate,Colombia,1882,18371,12830,18930,8635,5778,39,47,40,35,0,0
Universidad Centroamericana,http://www.uca.edu.ni/,uca,Nicaragua,509,5302,2640,4640,8635,4916,39,16,25,34,6,72
Faculdade Venda Nova do Imigrante FAVENI,http://faveni.edu.br/,faveni,Brazil,2619,21620,15534,22396,8635,5778,39,72,13,68,17,33
Instituto Miguel Ángel,http://www.ima.edu.mx/,ima,Mexico,2326,20376,9878,21934,8635,5778,38,40,50,16,4,5
Fundação Educacional de Além Paraíba FEAP,http://www.feap.edu.br/,feap,Brazil,3240,24166,20809,24440,8635,5778,38,19,9,75,5,62
Instituto Tecnológico de Monclova,http://www.itsmva.edu.mx/,itsmva,Mexico,2513,21179,8362,23057,8635,5778,38,16,9,36,14,8
Escola de Direito de São Paulo,http://direitosp.fgv.br/,direitosp,Brazil,996,11573,9426,10321,8635,5778,37,45,41,74,0,18
Universidad Peruana los Andes,http://upla.edu.pe/,upla,Peru,962,11277,3437,11243,8635,5778,37,67,38,44,13,11
Universidad Tecnológica Tula Tepeji,http://www.uttt.edu.mx/,uttt,Mexico,1477,15965,7118,16982,8635,5778,37,48,26,8,0,1
Faculdade Paulista de Pesquisa e Ensino Superior FAPPES,http://fappes.edu.br/,fappes,Brazil,1977,18826,16204,18818,8635,5778,37,20,18,72,4,26
Faculdade Nossa Cidade FNC,http://www.faculdadefnc.com.br/,faculdadefnc,Brazil,2538,21289,21339,20828,8635,5778,37,19,0,42,0,22
Universidad Nacional Amazónica de Madre de Dios,http://www.unamad.edu.pe/,unamad,Peru,1056,12230,1662,18758,8635,4482,36,117,104,50,8,30
Faculdade Metropolitana da Grande Recife,http://www.metropolitana.edu.br/,metropolitana,Brazil,1751,17629,10004,18510,8635,5778,36,9,35,61,15,10
Universidad Nacional de Itapúa,http://uni.edu.py/,uni,Paraguay,636,6809,3696,6480,8635,5228,36,101,21,59,24,67
Instituto Tecnológico de Minatitlán,http://www.itmina.edu.mx/,itmina,Mexico,1259,14286,4458,15250,8635,5778,35,97,5,44,0,18
Instituto de Especialización para Ejecutivos,http://www.iee.edu.mx/,iee,Mexico,3294,24398,25981,22593,8635,5778,33,57,30,52,27,16
Faculdade do Sudeste Goiano FASUG,http://www.fasug.edu.br/,fasug,Brazil,3063,23459,18819,23933,8635,5778,33,9,15,39,35,7
Faculdade de Odontologia do Recife,http://www.for.edu.br/,for,Brazil,2133,19511,19073,18990,8635,5778,33,23,9,34,4,44
Pontificia Universidade Catolica de Goiás PUC Goiás,http://sites.pucgoias.edu.br/,pucgoias,Brazil,167,2508,1231,1602,3827,3860,33,11,5,41,10,19
Universidad Andina Simón Bolívar Ecuador,http://www.uasb.edu.ec/,uasb,Ecuador,458,4804,2212,6102,5527,5228,33,21,4,19,17,6
Faculdade Evangélica do Meio Norte FAEME,http://www.faeme.edu.br/,faeme,Brazil,3277,24346,24705,23933,8635,5778,33,15,1,40,9,23
Universidad EAN Escuela de Administración de Negocios,http://ean.edu.co/,ean,Colombia,585,6207,2986,7369,5971,5778,32,60,34,34,102,82
Universidad Autónoma Juan Misael Saracho,http://www.uajms.edu.bo/,uajms,Bolivia ,977,11405,2429,11750,8635,5778,32,20,19,50,0,13
Universidad Metropolitana de Monterrey,http://www.umm.edu.mx/,umm,Mexico,1258,14281,1145,16565,8635,5778,32,14,17,29,11,60
